ID,Beer,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,"Syntetisk ",Sodavand,Malt,Kompleks,Tang,Blomst
ID_2345547_36_36__15_30_11,Tuborg Nul,1,4,4,1,0,3,1,0,0,0,4,3,0,1,0,0,0,0,0,2,0,3,3,1,2,0,1,3,2,0,1,0,1,0,2,2,2,1,0,0
ID_2345547_36_36__15_30_11,Brown Bella,2,1,1,4,1,1,5,5,3,4,4,1,2,5,4,1,0,2,0,3,0,1,2,3,1,1,3,1,1,0,1,2,0,0,1,0,2,3,0,0
ID_2345547_36_36__15_30_11,Tuborg Classic,4,0,1,6,0,1,3,3,1,2,2,0,4,5,0,0,1,3,0,2,0,0,2,0,1,0,2,1,3,4,0,0,1,0,2,0,2,2,0,0
ID_2345547_36_36__15_30_11,Wiener Walzer,1,3,5,5,4,4,5,3,0,1,2,2,1,5,0,0,0,1,1,2,0,3,2,1,2,0,2,5,0,1,0,0,1,0,2,0,2,2,0,0
ID_2345547_36_36__15_30_11,Sebastian,2,4,5,6,1,4,5,3,0,1,4,0,1,5,0,0,0,1,0,4,0,1,4,2,2,0,4,6,1,0,0,0,1,0,1,0,2,2,0,0
ID_2345547_36_36__15_30_11,Aronia,2,4,2,6,4,5,5,3,1,3,1,0,0,6,0,0,0,2,0,6,1,1,2,3,0,0,0,6,1,0,0,0,0,0,4,4,1,2,0,2
ID_2345547_36_36__15_30_11,Amigo,5,0,4,1,1,2,3,1,1,1,2,3,1,4,0,0,0,3,4,4,0,1,1,3,1,0,1,4,4,4,4,2,1,4,4,0,2,3,0,0
ID_2345547_36_36__15_30_11,Angelina,6,0,0,3,0,1,5,5,6,5,2,1,4,1,0,0,1,5,0,4,4,0,4,1,1,0,5,0,4,4,5,4,2,2,1,0,4,4,0,0
ID_2345547_36_36__15_30_11,Amarillo,2,2,5,4,1,2,4,4,1,2,2,3,4,3,1,0,0,3,1,5,0,1,3,2,3,0,4,5,1,2,1,0,3,0,2,0,3,3,0,1
ID_2345547_36_36__15_30_11,Alexander,6,0,2,2,1,1,6,6,5,6,2,1,2,5,2,1,4,1,0,5,5,1,2,3,1,3,4,1,5,5,5,6,3,1,3,0,4,4,0,0
