ID,Beer,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,"Syntetisk ",Sodavand,Malt,Kompleks,Tang,Blomst
ID_2079185_45_40__13_1_12,Tuborg Nul,2,2,4,3,1,1,1,0,1,2,1,3,2,2,0,2,0,2,0,4,0,3,3,3,1,0,4,1,1,0,1,2,2,0,2,1,3,2,0,2
ID_2079185_45_40__13_1_12,Brown Bella,2,1,3,1,2,2,4,3,3,3,2,1,4,2,3,2,2,3,0,5,2,2,3,3,2,2,2,1,2,3,4,3,1,0,1,0,4,3,2,0
ID_2079185_45_40__13_1_12,Tuborg Classic,2,2,2,1,1,4,1,2,1,0,2,5,0,1,2,1,0,2,0,1,3,5,3,3,5,0,2,0,1,0,0,0,1,1,2,2,2,2,0,1
ID_2079185_45_40__13_1_12,Wiener Walzer,4,1,2,3,1,2,1,1,1,3,2,2,4,2,1,1,2,2,1,3,2,2,1,3,3,2,3,0,3,3,1,0,2,0,2,0,3,3,1,2
ID_2079185_45_40__13_1_12,Sebastian,2,4,3,4,4,4,1,1,0,3,3,3,1,2,2,2,3,2,2,2,4,1,2,2,3,0,4,3,2,1,2,0,3,0,2,1,2,2,2,3
ID_2079185_45_40__13_1_12,Aronia,2,5,6,5,4,4,3,2,0,1,2,1,0,2,0,1,0,3,1,4,0,0,3,4,2,0,1,2,2,2,0,0,3,0,6,2,1,2,0,3
ID_2079185_45_40__13_1_12,Amigo,3,1,3,3,0,2,2,1,3,0,2,4,4,1,0,2,1,2,1,5,4,1,3,2,3,1,4,0,2,3,0,2,1,0,2,0,4,2,1,2
ID_2079185_45_40__13_1_12,Angelina,4,0,3,3,0,0,2,2,4,4,1,2,4,4,1,2,2,3,3,4,3,0,1,2,1,2,4,1,1,3,2,4,2,1,1,0,4,3,1,1
ID_2079185_45_40__13_1_12,Amarillo,2,1,1,3,2,3,2,4,3,1,1,1,4,2,2,4,2,2,1,1,3,2,3,2,3,2,3,2,2,2,1,2,2,0,2,0,3,3,2,0
ID_2079185_45_40__13_1_12,Alexander,4,1,2,1,1,1,5,4,3,4,6,0,2,2,4,3,3,2,1,4,2,1,5,5,0,4,2,0,3,2,4,5,2,0,0,0,4,5,2,0
