Gruppe6,x,y
1,-0.70,-2.59
2,15.27,-5.85
3,-16.04,6.32
4,-16.66,-15.81
5,17.12,-3.03
6,-9.60,12.14
7,16.24,2.26
8,13.77,11.79
9,-12.51,-8.05
10,19.76,4.64
11,-1.84,15.49
12,-15.86,17.52
13,-19.74,-21.63
