Gruppe2,x,y
1,14.53,12.03
2,-28.50,-6.29
3,2.31,2.64
4,7.24,7.29
5,-4.89,-4.84
6,20.82,-12.95
7,14.80,-9.85
8,24.19,-17.51
9,21.91,17.50
10,-8.72,-12.13
11,-6.35,0.63
12,25.38,1.82
13,26.56,9.39
