ID,Beer,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,"Syntetisk ",Sodavand,Malt,Kompleks,Tang,Blomst
ID_172877169_46_8__14_3_12,Alexander,4,3,0,1,0,0,6,3,4,5,5,0,4,4,3,6,0,2,2,6,3,0,1,2,0,3,0,0,5,5,5,5,1,0,4,0,3,5,0,0
ID_172877169_46_8__14_3_12,Amarillo,2,3,4,5,1,3,2,1,0,2,2,2,1,3,0,1,0,1,0,1,0,3,2,3,3,0,0,5,3,2,0,2,1,0,0,3,2,1,0,0
ID_172877169_46_8__14_3_12,Angelina,1,3,3,3,3,4,2,2,0,1,3,3,4,2,0,1,0,1,0,4,2,3,2,3,2,1,0,3,2,2,0,1,0,0,1,2,2,1,0,4
ID_172877169_46_8__14_3_12,Amigo,2,2,5,3,2,3,0,1,1,0,1,5,3,0,0,0,0,0,0,5,0,4,3,1,2,0,0,2,2,0,0,1,1,1,0,2,3,0,0,1
ID_172877169_46_8__14_3_12,Aronia,0,2,4,6,6,6,4,0,0,0,2,5,0,4,0,0,0,0,0,1,0,0,2,1,0,0,0,6,0,0,0,0,0,0,2,5,0,4,0,1
ID_172877169_46_8__14_3_12,Sebastian,0,3,2,3,2,3,1,0,0,3,3,1,4,1,0,0,0,1,0,2,1,3,3,1,2,0,0,4,1,0,0,2,0,0,1,3,4,2,0,0
ID_172877169_46_8__14_3_12,Wiener Walzer,4,2,1,1,2,2,3,4,3,5,2,2,3,4,0,2,0,1,2,5,3,1,0,3,1,2,0,2,2,0,1,2,3,1,4,0,4,4,0,0
ID_172877169_46_8__14_3_12,Tuborg Classic,1,2,2,2,0,0,2,1,0,1,3,2,3,1,0,0,0,1,1,3,2,4,5,2,6,0,0,1,2,0,0,1,0,0,0,1,5,0,0,0
ID_172877169_46_8__14_3_12,Brown Bella,4,2,0,1,0,1,5,4,4,5,5,1,4,5,2,5,4,3,4,6,4,1,1,2,0,4,0,2,3,4,4,6,2,0,4,0,5,5,0,0
ID_172877169_46_8__14_3_12,Tuborg Nul,4,2,0,0,2,0,5,4,3,2,2,2,0,4,2,6,3,1,4,5,5,0,0,1,0,3,0,1,1,1,2,2,2,0,5,1,1,4,1,3
