ID,Beer,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,"Syntetisk ",Sodavand,Malt,Kompleks,Tang,Blomst
ID_6491451_5_21__11_1_12,Amarillo,4,3,3,1,0,2,1,3,0,1,0,2,2,2,0,0,0,1,0,5,0,1,1,1,4,0,3,1,2,3,0,1,0,0,2,0,2,1,0,0
ID_6491451_5_21__11_1_12,Amigo,1,3,2,1,0,1,2,0,0,0,1,2,0,0,0,0,0,1,0,1,0,5,3,2,3,0,3,4,0,0,0,0,0,0,1,1,3,0,0,0
ID_6491451_5_21__11_1_12,Alexander,0,3,0,1,0,1,5,2,0,4,4,0,1,2,5,1,1,1,0,3,0,0,3,5,3,1,3,0,2,1,0,3,0,0,3,0,3,4,0,0
ID_6491451_5_21__11_1_12,Sebastian,1,2,4,4,0,3,2,0,0,0,0,2,1,2,0,0,0,1,0,2,0,4,1,2,2,0,3,3,1,1,0,0,0,0,2,0,3,0,0,0
ID_6491451_5_21__11_1_12,Angelina,3,1,2,1,0,1,2,1,0,1,0,3,0,1,0,0,0,3,0,1,0,3,0,1,1,0,3,2,2,0,0,1,0,0,2,0,3,0,0,0
ID_6491451_5_21__11_1_12,Tuborg Classic,1,0,2,1,0,1,0,0,0,0,0,5,0,1,0,0,0,1,0,1,1,4,1,1,1,0,3,2,1,0,0,0,0,0,2,0,3,0,0,0
ID_6491451_5_21__11_1_12,Aronia,5,3,1,5,4,3,2,0,0,0,0,1,0,1,0,0,0,3,0,2,0,3,0,3,0,0,3,4,0,1,0,0,0,0,4,1,0,3,0,1
ID_6491451_5_21__11_1_12,Tuborg Nul,1,2,1,1,1,1,0,0,0,0,1,5,1,1,0,0,0,0,0,1,1,3,0,1,1,0,3,0,1,0,0,0,0,0,1,0,3,0,0,1
ID_6491451_5_21__11_1_12,Wiener Walzer,0,1,1,0,0,3,3,2,0,3,3,1,2,1,1,0,0,0,0,3,0,2,1,3,2,0,3,0,2,1,0,1,1,0,1,0,3,1,0,0
ID_6491451_5_21__11_1_12,Brown Bella,1,0,1,1,0,0,3,0,0,3,1,1,2,1,2,1,1,1,0,1,0,0,1,3,1,0,3,0,2,1,0,1,1,0,2,0,3,2,0,0
