ID,Beer,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,"Syntetisk ",Sodavand,Malt,Kompleks,Tang,Blomst
ID_2079147_17_27__16_4_12,Tuborg Nul,0,5,4,3,2,4,1,2,1,1,2,4,1,2,0,1,0,0,1,1,0,5,3,3,2,0,2,2,0,0,1,1,3,2,3,3,1,1,0,4
ID_2079147_17_27__16_4_12,Brown Bella,4,0,1,2,1,1,5,4,3,5,2,1,5,1,3,2,1,3,2,4,2,1,2,3,2,3,5,1,3,3,3,2,1,2,1,0,5,2,2,1
ID_2079147_17_27__16_4_12,Tuborg Classic,0,4,3,2,3,5,0,1,1,1,2,6,1,2,0,1,1,1,0,0,1,6,3,2,2,1,1,2,2,1,1,1,4,2,2,4,2,1,1,3
ID_2079147_17_27__16_4_12,Wiener Walzer,5,1,1,4,2,1,4,3,4,4,3,1,5,4,2,3,3,4,2,4,3,1,2,3,2,2,5,1,3,2,3,3,2,2,1,1,5,3,2,2
ID_2079147_17_27__16_4_12,Sebastian,3,3,6,5,5,5,2,1,1,1,2,3,2,2,1,2,1,2,3,2,1,5,4,4,2,0,2,5,1,2,0,0,2,0,4,1,3,2,1,2
ID_2079147_17_27__16_4_12,Aronia,3,2,2,6,5,6,6,5,4,5,1,0,6,6,3,1,1,1,1,5,2,0,2,4,0,1,1,0,2,4,1,2,6,6,6,1,2,5,6,2
ID_2079147_17_27__16_4_12,Amigo,4,2,3,4,3,5,4,4,4,4,4,1,4,4,4,4,3,3,5,5,2,2,4,3,3,2,5,4,3,3,3,3,3,1,1,1,5,3,1,1
ID_2079147_17_27__16_4_12,Angelina,5,1,1,4,2,2,5,4,5,6,2,1,5,4,3,4,4,4,4,5,4,1,2,4,1,4,5,1,4,4,5,6,3,3,2,1,4,5,2,1
ID_2079147_17_27__16_4_12,Amarillo,5,1,1,2,1,2,5,4,2,5,2,1,5,3,2,5,4,2,4,5,2,2,4,2,2,1,5,2,3,4,3,4,4,4,2,1,4,3,3,2
ID_2079147_17_27__16_4_12,Alexander,6,0,1,3,1,2,6,5,4,6,2,0,5,2,5,2,4,4,5,5,4,0,2,2,0,3,6,1,2,3,6,5,5,5,1,0,5,3,2,1
