ID,Beer,Bitter,Sød,Citrus,Syrlig,Bær,Frugtig,Kraftig,Krydret,Røget,Tung,Rund,Vandet,Gæret,Skarp,Lakrids,Karamel,Chokolade,Tør,Gran,Eftersmag,Nøddet,Mild,Harmonisk,Aroma,Normal,Kaffe,Humle,Cider,Spiritus,Sprittet,Brændt,Rugbrød,Olie,Rengøringsmiddel,"Syntetisk ",Sodavand,Malt,Kompleks,Tang,Blomst
ID_6491084_36_39__13_4_12,Tuborg Classic,3,3,2,2,0,2,2,0,0,0,1,1,1,2,0,3,0,3,0,4,0,3,3,2,4,3,2,1,2,3,2,0,0,1,0,1,2,2,0,3
ID_6491084_36_39__13_4_12,Tuborg Nul,2,4,1,3,3,6,0,0,0,1,2,5,0,1,0,0,0,2,1,3,0,6,4,1,2,0,0,5,0,0,0,0,0,0,4,4,0,2,0,6
ID_6491084_36_39__13_4_12,Sebastian,5,3,5,4,0,6,5,0,1,0,2,1,4,5,0,0,0,3,2,5,0,1,4,3,3,0,5,3,1,0,0,0,0,2,1,2,0,4,0,5
ID_6491084_36_39__13_4_12,Brown Bella,0,5,1,0,2,3,4,5,0,3,2,4,4,4,0,4,2,0,0,3,4,2,2,5,3,2,1,0,1,1,2,3,0,0,3,2,5,2,0,3
ID_6491084_36_39__13_4_12,Amigo,4,4,5,4,1,6,2,2,0,0,2,1,1,3,0,1,0,4,0,3,0,2,4,2,3,0,4,3,1,1,0,0,0,2,1,0,1,4,0,4
ID_6491084_36_39__13_4_12,Wiener Walzer,1,4,3,0,0,3,1,3,3,1,1,1,0,4,0,0,0,0,0,4,0,2,1,1,4,0,2,0,2,2,2,0,0,1,3,0,4,2,0,0
ID_6491084_36_39__13_4_12,Amarillo,2,3,0,2,0,4,5,5,4,0,2,2,4,3,0,4,0,2,1,6,2,1,5,5,3,1,3,0,1,2,2,0,0,1,1,0,0,4,0,4
ID_6491084_36_39__13_4_12,Aronia,0,4,4,6,5,5,6,0,0,0,0,0,0,3,0,0,0,4,0,6,0,1,4,5,1,0,2,4,0,0,0,0,0,0,2,4,0,5,0,5
ID_6491084_36_39__13_4_12,Alexander,0,5,0,0,4,0,5,4,2,4,2,0,0,4,5,4,6,2,0,4,5,1,3,4,2,3,1,0,2,2,4,3,1,0,2,0,4,4,0,0
ID_6491084_36_39__13_4_12,Angelina,3,3,1,0,0,2,2,4,1,1,2,1,1,3,0,2,1,1,0,4,2,3,2,2,3,0,3,0,0,0,2,1,0,0,2,0,3,3,0,4
