Gruppe1,x,y
1,-29,-13.65
2,-0.14,-5.29
3,-17.42,1.24
4,-24.59,9.52
5,-12.09,-2.9
6,-5.75,-1.52
7,11.91,-4.18
8,-5.19,14.94
9,9.33,2.8
10,5.65,-7.68
11,19.44,-10.71
12,26.52,-15.4
13,19.08,-15.86
