Gruppe3,x,y
1,1.02,7.34
2,20.35,0.55
3,-10.30,-7.37
4,20.07,-10.95
5,7.24,1.97
6,-0.77,-9.25
7,-6.53,-15.29
8,30.06,-0.58
9,13.28,-9.73
10,-3.51,-9.25
11,8.47,-15.29
12,-13.13,-2.09
13,2.81,19.22
