Gruppe4,x,y
1,-22.05,-5.95
2,2.62,0.44
3,-9.80,-11.71
4,-16.81,-15.53
5,14.16,2.13
6,3.07,-9.14
7,23.74,8.87
8,30.04,13.13
9,-7.58,10.91
10,16.91,-5.15
11,22.41,-9.14
12,24.45,-2.57
13,-24.18,-18.01
